MonthName,Year,Very Unhealthy,Unhealthy,Place
April,2018,13,113,Ballarat
April,2019,11,62,Ballarat
August,2018,193,230,Ballarat
December,2018,2,46,Ballarat
February,2018,1,26,Ballarat
February,2019,5,56,Ballarat
January,2018,6,70,Ballarat
January,2019,6,72,Ballarat
July,2018,218,239,Ballarat
June,2018,187,217,Ballarat
March,2018,6,43,Ballarat
March,2019,19,80,Ballarat
May,2018,52,226,Ballarat
November,2018,29,105,Ballarat
October,2018,45,114,Ballarat
September,2018,135,192,Ballarat
April,2018,0,25,Melbourne
April,2019,0,23,Melbourne
August,2018,58,205,Melbourne
December,2018,0,60,Melbourne
February,2018,0,25,Melbourne
February,2019,0,43,Melbourne
January,2018,13,58,Melbourne
January,2019,14,35,Melbourne
July,2018,27,215,Melbourne
June,2018,63,247,Melbourne
March,2018,0,23,Melbourne
March,2019,0,38,Melbourne
May,2018,3,72,Melbourne
November,2018,0,40,Melbourne
October,2018,4,60,Melbourne
September,2018,42,159,Melbourne
April,2018,3,22,Moorabbin
April,2019,1,28,Moorabbin
August,2018,46,147,Moorabbin
December,2018,0,43,Moorabbin
February,2018,0,21,Moorabbin
February,2019,0,28,Moorabbin
January,2018,7,42,Moorabbin
January,2019,8,28,Moorabbin
July,2018,19,160,Moorabbin
June,2018,85,138,Moorabbin
March,2018,0,15,Moorabbin
March,2019,2,23,Moorabbin
May,2018,8,53,Moorabbin
November,2018,0,32,Moorabbin
October,2018,5,56,Moorabbin
September,2018,35,116,Moorabbin
April,2018,9,88,Melbourne(airport)
April,2019,9,48,Melbourne(airport)
August,2018,124,159,Melbourne(airport)
December,2018,15,78,Melbourne(airport)
February,2018,6,71,Melbourne(airport)
February,2019,5,90,Melbourne(airport)
January,2018,27,117,Melbourne(airport)
January,2019,41,124,Melbourne(airport)
July,2018,139,175,Melbourne(airport)
June,2018,157,149,Melbourne(airport)
March,2018,4,45,Melbourne(airport)
March,2019,2,78,Melbourne(airport)
May,2018,55,106,Melbourne(airport)
November,2018,6,70,Melbourne(airport)
October,2018,26,59,Melbourne(airport)
September,2018,115,96,Melbourne(airport)
April,2018,9,88,Charlton
April,2019,9,48,Charlton
August,2018,124,159,Charlton
December,2018,15,78,Charlton
February,2018,6,71,Charlton
February,2019,5,90,Charlton
January,2018,27,117,Charlton
January,2019,41,124,Charlton
July,2018,139,175,Charlton
June,2018,157,149,Charlton
March,2018,4,45,Charlton
March,2019,2,78,Charlton
May,2018,55,106,Charlton
November,2018,6,70,Charlton
October,2018,26,59,Charlton
September,2018,115,96,Charlton
April,2018,10,56,Portland
April,2019,11,46,Portland
August,2018,43,199,Portland
December,2018,10,45,Portland
February,2018,0,11,Portland
February,2019,0,10,Portland
January,2018,3,29,Portland
January,2019,3,17,Portland
July,2018,47,202,Portland
June,2018,65,222,Portland
March,2018,0,14,Portland
March,2019,3,50,Portland
May,2018,10,42,Portland
November,2018,7,54,Portland
October,2018,12,65,Portland
September,2018,25,178,Portland
